review_id,title,intervention,simplified_intervention,manual_intervention,condition,simplified_condition,manual_condition,orig_simplified_intervention,orig_simplified_condition,excluded,same_intervention,same_condition,same_intervention_condition
CD002818,Amantadine for fatigue in multiple sclerosis,amantadine,medicine for fatigue,0,fatigue in multiple sclerosis,fatigue in MS,0,medicine for fatigue,fatigue in MS,0,0,0,0
CD008234,Intratympanic gentamicin for Ménière's disease or syndrome,intratympanic gentamicin,medicine in the ear,0,vertigo in Ménière's disease,dizziness from ear disease,1,medicine in the ear,dizziness from inner ear disease,0,0,0,0
CD008341,Golimumab for rheumatoid arthritis,golimumab,medicine for arthritis,0,rheumatoid arthritis,arthritis,0,medicine for arthritis,arthritis,0,0,0,0
CD003685,Rofecoxib for rheumatoid arthritis,rofecoxib,pain medicine,0,rheumatoid arthritis,joint pain,0,pain medicine,joint pain,0,0,0,0
CD007045,Selective internal radiation therapy for liver metastases from colorectal cancer,selective internal radiation therapy,treatment for the liver,1,liver metastases from colorectal cancer,cancer that has spread to the liver from the colon,0,radiation treatment for the liver,cancer that has spread to the liver from the colon,0,0,0,0
CD003651,Vaginal disinfection for preventing mother‐to‐child transmission of HIV infection,vaginal disinfection,vagina cleaning,1,preventing mother-to-child transmission of HIV,preventing HIV from passing to baby,0,vaginal cleaning,preventing HIV from passing to baby,0,0,0,0
CD006286,Intranasal corticosteroids for nasal airway obstruction in children with moderate to severe adenoidal hypertrophy,intranasal corticosteroids,nose spray medicine,0,nasal airway obstruction,blocked nose in kids,0,nose spray medicine,blocked nose in kids,0,0,0,0
CD003163,Topical nasal steroids for intermittent and persistent allergic rhinitis in children,topical nasal steroids,nose spray medicine,1,intermittent and persistent allergic rhinitis in children,child allergies,0,nasal spray medicine,child allergies,0,0,0,0
CD001968,Superoxide dismutase for preventing chronic lung disease in mechanically ventilated preterm infants,superoxide dismutase,medicine,1,chronic lung disease,lung problem that lasts for a long time,1,enzyme medicine,lung problem in premature babies,0,0,0,0
CD003059,Cromolyn sodium for the prevention of chronic lung disease in preterm infants,cromolyn sodium,medicine to prevent lung problems,0,chronic lung disease,lung problem that lasts for a long time,1,medicine to prevent lung problems,lung disease in premature babies,0,0,0,0
CD003343,Directly observed therapy for treating tuberculosis,directly observed therapy,someone watching you take your medicine,0,tuberculosis,TB,1,someone watching you take your medicine,tuberculosis,0,0,0,0
CD003486,Lung lavage for meconium aspiration syndrome in newborn infants,lung lavage,lung washing,0,meconium aspiration syndrome,baby breath problem with poop in lungs,1,lung washing,meconium in lungs of newborns,0,0,0,0
CD006827,Incision and drainage of perianal abscess with or without treatment of anal fistula,incision and drainage of perianal abscess with fistula treatment,drain pus,1,perianal abscess,butt boil,1,drain abscess and fix fistula,abscess around anus,0,0,0,0
CD004049,Inositol for depressive disorders,inositol,supplement,1,depressive disorders,depression,0,inositol,depression,0,0,0,0
CD007038,Factor Xa inhibitors for acute coronary syndromes,factor Xa inhibitor,blood thinner,0,acute coronary syndrome,heart attack problem,0,blood thinner,heart attack problem,0,0,0,0
CD007956,Amifostine for salivary glands in high‐dose radioactive iodine treated differentiated thyroid cancer,amifostine,medicine,1,xerostomia,dry mouth,0,medicine to protect salivary glands,dry mouth,0,0,0,0
CD006812,Adjuvant radiotherapy and/or chemotherapy after surgery for uterine carcinosarcoma,adjuvant radiotherapy and/or chemotherapy,treatment after surgery,0,uterine carcinosarcoma,womb cancer,0,treatment after surgery,womb cancer,0,0,0,0
CD009890,Surgical interventions for treating distal humeral fractures in adults,surgical intervention,surgery,0,distal humeral fractures,broken arm bone near elbow,0,surgery,broken arm bone near elbow,0,0,0,0
CD004926,Fluids and diuretics for acute ureteric colic,fluids and diuretics,fluids and medicine to help pass stones,0,acute ureteric colic,severe kidney stone pain,0,fluids and medicine to help pass stones,severe kidney stone pain,0,0,0,0
CD005395,Surgery for Ménière's disease,surgery,surgery,0,Ménière's disease,ear disease,1,surgery,inner ear disease,0,1,0,0
CD004218,Anticonvulsants for neonates with seizures,anticonvulsants,seizure medicine,0,seizures,seizures,1,seizure medicine,neonatal seizures,0,0,1,0
CD006289,Probiotics for the treatment of bacterial vaginosis,probiotics,good bacteria medicine,0,bacterial vaginosis,vaginal infection,1,good bacteria medicine,vaginal bacteria imbalance,0,0,0,0
CD005114,Dehydroepiandrosterone for systemic lupus erythematosus,dehydroepiandrosterone,Supplement to help brain work,1,systemic lupus erythematosus,lupus,0,DHEA medicine,lupus,0,0,0,0
CD006706,Interventions for the prevention and treatment of herpes simplex virus in patients being treated for cancer,interventions for prevention and treatment of herpes simplex virus,medicine,1,herpes simplex virus infection,herpes,1,aciclovir for herpes,herpes virus infection,0,0,0,0
CD003906,Plasma exchange for chronic inflammatory demyelinating polyradiculoneuropathy,plasma exchange,blood cleaning treatment,1,chronic inflammatory demyelinating polyradiculoneuropathy,weakness from nerve disease that lasts for a long time,1,plasma exchange,chronic inflammatory nerve disease,0,0,0,0
CD002195,Systemic therapy for treating locoregional recurrence in women with breast cancer,systemic therapy,medicine to treat cancer,0,locoregional recurrence,cancer coming back in the area it first grew,0,medicine to treat cancer,cancer coming back in the area it first grew,0,0,0,0
